ID_PRODUCTO,NOMBRE,CATEGORIA,MARCA
B0BW2LV57K,"bocina sonos era 300 - black - wireless, alexa enabled smart speaker with dolby atmos.",electronics,Sonos
B0B76W7JD9,"memoria ram systembuild evolution camberly framed wall cabinet, 54"", graphite gray",kitchen,SystemBuild
B0F53C5ZXW,pantalla tcl 98 inch class qm8k series smart tv,electronics,TCL
B0049B1VKY,libro electronico the sixties: diaries 1960°,kindle edition,Amazon
B0DF69NTJG,libro electronico thirty pieces of silver (spirits in the sili,kindle edition,Amazon
B0027KRRUM,libro electronico three times blessed (belles of timber creek boo,kindle edition,Amazon
B0028AYQDC,"articulo para el hogar whynter portable air conditioner 14,000 btu with dual hose dehumidifier & cooling fan for 500 sq ft rooms, includes ac unit window kit, arc-14s (9,500 s",home,Whynter
B08H75RTZ8,unidad ssd xbox series x - gaming console - 1tb ssd - includes wireless controller - 4k gaming - 120fps - carbon black,video game,Microsoft Xbox
B00007J5U7,"articulo de cocina zojirushi ns-zcc10 5-1/2-cup neuro fuzzy rice cooker and warmer, premium w",kitchen,Zojirushi
B09XS7JWHH,"audifonos sony wh-1000xm5 premium noise canceling headphones, auto nc optimizer, 30-hour battery, alexa voice control, b",electronics,Sony
B0BHJJ9Y77,"unidad ssd samsung 990 pro ssd 2tb nvme m.2 pcie gen4, m.2 2280 internal solid state hard drive, seq. read speeds up to 7,450 mb/s for high end computing, gaming, and heavy duty workstations, mz-v9p2t0b/am",personal computers,Samsung
B0DGHMNQ5Z,"audifonos apple airpods 4 wireless earbuds, bluetooth headphones, personalized spatial audio, sweat and water resistant, usb-c charging case, h2 chip, up to 30 hours of battery life, effortless setup for ip",electronics,Apple
B0DN6ZQ3PD,"laptop wd_black sn7100 2tb nvme ssd - gen4 pcie, m.2 2280, up to 7,250 mb/s read speed, up to 6,900 mb/s write speed, next gen tlc 3d nand, for laptops, handheld gaming devices - wds200t4x0e",personal computers,Western Digital
B0DSRHTGYG,pantalla tcl 75 inch class qm6k series smart tv,electronics,TCL
B0DVX8WJ7S,pantalla tcl 65 inch class qm7k series smart tv,electronics,TCL
B0DVZSG8D5,amd ryzen 9 9950x3d 16-core processor,personal computers,AMD
B0FQF9ZX7P,"monitor apple watch series 11 [gps 42mm] smartwatch with rose gold aluminum case with light blush sport band - s/m. sleep score, fitness tracker, health monitoring, always-on display, water resistant",watch,Apple
B0FQF5BZ8Z,"monitor apple watch series 11 [gps 46mm] smartwatch with jet black aluminum case with black sport band - m/l. sleep score, fitness tracker, health monitoring, always-on display, water resistant",watch,Apple
B00VYBIB6E,"microfono carlisle foodservice products n4401203 comfort curve ergonomic wash basin tote box lid, universal, black (pack of",misc.,Carlisle
B01MXRRAWF,libro electronico new collected p,kindle edition,Amazon
B0CYCQ1JF5,"prenda de vestir under armour men's project rock red one pom beanie, marine od green/red, one size fits most",apparel,Under Armour
B07NMS2Y67,libro electronico the fountains of para,apparel,Amazon
B076H6VZF5,memoria ram internet's best adjustable pet ramp,kindle edition,Internet's Best
B003YK96YO,"accesorio automotriz bestop 7550215 rear-mount trekstep for 2006-2014 ford f150 driver side only, black",kitchen,Bestop
B0052L23T8,libro electronico honeybee: lessons from an accidental beeke,automotive,Amazon
B0DT3XB493,"articulo de cocina ironck vanity desk with mirror and lights, small makeup vanity table with 5 drawers, power outlet, and vanity stool, 3 lighting colors, dressing table for women girls bedroom, w",kindle edition,IRONCK
B00G1SD5GQ,libro electronico last stand at khe sanh: the u.s. marines' finest hour in vie,kitchen,Amazon
B0F7Q6P1G3,"libro electronico the plc dashboard: implementing, leading, and sustaining your professional learning community at work! (a practical",kitchen,Amazon
B00CP8DF3O,"herramienta dewalt 20v max cordless shop vac, wet dry vacuum cleaner, portable 2 gallon wet dry vac, strong suction shop vacuum with hepa filter, tool only (dcv580h)",kindle edition,DEWALT
B01728NLRG,"monitor coway airmega ap-1512hh(w) true hepa purifier with air quality monitoring, auto, timer, filter indicator, and eco mode, 16.8 x 18.3 x 9.7, white",kindle edition,Coway
B07N3PQM5N,"panasonic streaming blu ray dvd player, 4k blu ray player with dolby vision and hdr10+ ultra hd premium video playback, hi-res audio, voice assist - dp-ub820-k (black)",health and beauty,Panasonic
B084ZV4DXB,disco duro seagate ironwolf 8tb nas internal hard drive hdd  –  3.5 inch sata 6gb/s 7200 rpm 256mb cache for raid network attached storage  –  frustration free packaging (st800,sports,Seagate
