ID_PRODUCTO,NOMBRE,CATEGORIA,MARCA
B0BW2LV57K,"Bocina Sonos Era 300 - Black - Wireless, Alexa Enabled Smart Speaker with Dolby Atmos.",Electronics,Sonos
B0B76W7JD9,"Memoria RAM SystemBuild Evolution Camberly Framed Wall Cabinet, 54"", Graphite Gray",Kitchen,SystemBuild
B0F53C5ZXW,Pantalla TCL 98 Inch Class QM8K Series Smart TV,Electronics,TCL
B0049B1VKY,Libro electrónico The Sixties: Diaries 1960°,Kindle Edition,Amazon Publishing
B0DF69NTJG,Libro electrónico Thirty Pieces of Silver (Spirits in the Sili,Kindle Edition,Amazon Publishing
B0027KRRUM,Libro electrónico Three Times Blessed (Belles of Timber Creek Boo,Kindle Edition,Amazon Publishing
B0028AYQDC,"Artículo para el hogar Whynter Portable Air Conditioner 14,000 BTU with Dual Hose Dehumidifier & Cooling Fan for 500 Sq Ft Rooms, Includes AC Unit Window Kit, ARC-14S (9,500 S",Home,Whynter
B08H75RTZ8,Unidad SSD Xbox Series X - Gaming Console - 1TB SSD - Includes Wireless Controller - 4K Gaming - 120FPS - Carbon Black,Video Game,Microsoft Xbox
B00007J5U7,"Artículo de cocina Zojirushi NS-ZCC10 5-1/2-Cup Neuro Fuzzy Rice Cooker and Warmer, Premium W",Kitchen,Zojirushi
B09XS7JWHH,"Audífonos Sony WH-1000XM5 Premium Noise Canceling Headphones, Auto NC Optimizer, 30-Hour Battery, Alexa Voice Control, B",Electronics,Sony
B0BHJJ9Y77,"Unidad SSD Samsung 990 PRO SSD 2TB NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",Personal Computers,Samsung
B0DGHMNQ5Z,"Audífonos Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iP",Electronics,Apple
B0DN6ZQ3PD,"Laptop WD_Black SN7100 2TB NVMe SSD - Gen4 PCIe, M.2 2280, Up to 7,250 MB/s Read Speed, Up to 6,900 MB/s Write Speed, Next Gen TLC 3D NAND, for Laptops, Handheld Gaming Devices - WDS200T4X0E",Personal Computers,Western Digital
B0DSRHTGYG,Pantalla TCL 75 Inch Class QM6K Series Smart TV,Electronics,TCL
B0DVX8WJ7S,Pantalla TCL 65 Inch Class QM7K Series Smart TV,Electronics,TCL
B0DVZSG8D5,AMD Ryzen 9 9950X3D 16-Core Processor,Personal Computers,AMD
B0FQF9ZX7P,"Monitor Apple Watch Series 11 [GPS 42mm] Smartwatch with Rose Gold Aluminum Case with Light Blush Sport Band - S/M. Sleep Score, Fitness Tracker, Health Monitoring, Always-On Display, Water Resistant",Watch,Apple
B0FQF5BZ8Z,"Monitor Apple Watch Series 11 [GPS 46mm] Smartwatch with Jet Black Aluminum Case with Black Sport Band - M/L. Sleep Score, Fitness Tracker, Health Monitoring, Always-On Display, Water Resistant",Watch,Apple
B00VYBIB6E,"Micrófono Carlisle FoodService Products N4401203 Comfort Curve Ergonomic Wash Basin Tote Box Lid, Universal, Black (Pack of",Misc.,Carlisle
B01MXRRAWF,Libro electrónico New Collected P,Kindle Edition,Amazon Publishing
B0CYCQ1JF5,"Prenda de vestir Under Armour Men's Project Rock Red One Pom Beanie, Marine OD Green/Red, One Size Fits Most",Apparel,Under Armour
B07NMS2Y67,Libro electrónico The Fountains of Para,Apparel,Amazon Publishing
B076H6VZF5,Memoria RAM Internet's Best Adjustable Pet Ramp,Kindle Edition,Internet's Best
B003YK96YO,"Accesorio automotriz Bestop 7550215 Rear-Mount TrekStep for 2006-2014 Ford F150 Driver Side only, Black",Kitchen,Bestop
B0052L23T8,Libro electrónico Honeybee: Lessons from an Accidental Beeke,Automotive,Amazon Publishing
B0DT3XB493,"Artículo de cocina IRONCK Vanity Desk with Mirror and Lights, Small Makeup Vanity Table with 5 Drawers, Power Outlet, and Vanity Stool, 3 Lighting Colors, Dressing Table for Women Girls Bedroom, W",Kindle Edition,IRONCK
B00G1SD5GQ,Libro electrónico Last Stand at Khe Sanh: The U.S. Marines' Finest Hour in Vie,Kitchen,Amazon Publishing
B0F7Q6P1G3,"Libro electrónico The PLC Dashboard: Implementing, Leading, and Sustaining Your Professional Learning Community at Work! (A practical",Kitchen,Amazon Publishing
