ID_PRODUCTO,NOMBRE,CATEGORIA,MARCA,PRECIO_ACTUAL,STOCK,PRECIO_FABRICACION
B0BW2LV57K,"bocina sonos era 300 - black - wireless, alexa enabled smart speaker with dolby atmos.",electronics,Sonos,402.32,48,356.75
B0B76W7JD9,"memoria ram systembuild evolution camberly framed wall cabinet, 54"", graphite gray",kitchen,SystemBuild,107.14,15,96.29
B0F53C5ZXW,pantalla tcl 98 inch class qm8k series smart tv,electronics,TCL,3671.71,52,3072.79
B0049B1VKY,libro electronico the sixties: diaries 1960°,kindle edition,Amazon,13.07,77,11.24
B0DF69NTJG,libro electronico thirty pieces of silver (spirits in the sili,kindle edition,Amazon,0.98,10,0.79
B0027KRRUM,libro electronico three times blessed (belles of timber creek boo,kindle edition,Amazon,4.06,68,3.52
B0028AYQDC,"articulo para el hogar whynter portable air conditioner 14,000 btu with dual hose dehumidifier & cooling fan for 500 sq ft rooms, includes ac unit window kit, arc-14s (9,500 s",home,Whynter,474.05,23,388.14
B08H75RTZ8,unidad ssd xbox series x - gaming console - 1tb ssd - includes wireless controller - 4k gaming - 120fps - carbon black,video game,Microsoft Xbox,644.59,41,565.61
B00007J5U7,"articulo de cocina zojirushi ns-zcc10 5-1/2-cup neuro fuzzy rice cooker and warmer, premium w",kitchen,Zojirushi,145.17,63,127.71
B09XS7JWHH,"audifonos sony wh-1000xm5 premium noise canceling headphones, auto nc optimizer, 30-hour battery, alexa voice control, b",electronics,Sony,265.23,88,231.09
B0BHJJ9Y77,"unidad ssd samsung 990 pro ssd 2tb nvme m.2 pcie gen4, m.2 2280 internal solid state hard drive, seq. read speeds up to 7,450 mb/s for high end computing, gaming, and heavy duty workstations, mz-v9p2t0b/am",personal computers,Samsung,451.8,38,393.52
B0DGHMNQ5Z,"audifonos apple airpods 4 wireless earbuds, bluetooth headphones, personalized spatial audio, sweat and water resistant, usb-c charging case, h2 chip, up to 30 hours of battery life, effortless setup for ip",electronics,Apple,104.92,97,87.1
B0DN6ZQ3PD,"laptop wd_black sn7100 2tb nvme ssd - gen4 pcie, m.2 2280, up to 7,250 mb/s read speed, up to 6,900 mb/s write speed, next gen tlc 3d nand, for laptops, handheld gaming devices - wds200t4x0e",personal computers,Western Digital,317.3,22,257.55
